datetime,main_aqi,components_co,components_no,components_no2,components_o3,components_so2,components_pm2_5,components_pm10,components_nh3,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation,city
2024-03-24 12:00:00,2,353.81,1.08,6.94,90.12,2.15,17.26,42.54,1.57,29.7,63.0,21.9,0.0,1010.8,4.2,258.0,830,Karachi
2021-11-24 13:00:00,5,7690.43,34.87,293.37,0.1,37.19,497.22,553.58,62.82,20.6,16.0,-6.1,0.0,972.9,0.8,243.0,0,Peshawar
2021-09-08 05:00:00,4,881.2,0.3,18.68,19.13,9.54,28.09,32.74,6.84,27.3,89.0,25.3,0.0,979.7,10.4,104.0,0,Lahore
2022-05-18 17:00:00,5,1001.36,0.0,24.68,85.12,7.03,69.09,122.56,19.51,35.0,16.0,5.5,0.0,962.1,4.4,55.0,0,Peshawar
2023-02-12 22:00:00,3,801.09,0.0,17.82,92.98,15.74,40.07,77.97,17.73,23.1,24.0,1.4,0.0,1018.9,2.39,57.0,0,Karachi
2023-06-17 15:00:00,5,6835.94,58.11,271.44,0.06,25.03,91.26,109.87,38.0,37.5,31.0,17.5,0.0,942.6,5.1,172.0,658,Islamabad
2022-07-09 15:00:00,4,907.9,0.0,12.34,118.73,6.91,25.55,26.55,6.9,35.8,38.0,19.2,0.0,938.6,6.6,189.0,815,Islamabad
2023-08-17 04:00:00,4,1548.77,5.25,47.98,100.14,17.88,65.46,79.8,8.36,26.9,83.0,23.8,0.0,944.3,3.4,32.0,0,Islamabad
2024-01-06 08:00:00,5,6408.69,3.97,67.86,228.88,25.03,737.92,795.67,23.05,15.5,50.0,5.2,0.0,979.5,3.6,96.0,568,Peshawar
2024-06-21 15:00:00,3,200.27,0.0,2.78,90.12,0.88,21.13,81.1,1.31,25.0645,54.02036,15.1145,0.0,833.14307,12.413476,163.14153,12,Quetta
2023-06-16 00:00:00,5,1655.58,6.54,46.61,0.63,8.11,112.99,144.94,27.11,26.1,83.0,23.0,0.0,975.7,5.1,82.0,0,Lahore
2023-09-21 12:00:00,5,4913.33,82.25,180.96,18.42,26.94,114.28,156.08,25.33,33.2,66.0,26.0,0.0,1003.7,2.2,129.0,613,Karachi
2024-05-04 09:00:00,4,961.3,0.95,14.05,178.81,4.23,17.76,23.58,6.02,28.7,38.0,13.0,0.0,970.6,6.7,36.0,749,Peshawar
2023-08-05 11:00:00,3,467.3,0.33,3.34,121.59,2.35,25.1,35.76,6.14,33.7,59.0,24.6,0.0,960.9,10.3,78.0,530,Peshawar
2021-09-06 10:00:00,4,211.95,0.2,1.02,127.32,0.88,20.18,54.47,1.17,33.864502,9.945735,-2.0855,0.0,839.1715,12.074766,333.43503,790,Quetta
2024-02-15 12:00:00,5,4272.46,26.38,138.46,30.4,39.58,236.13,290.33,40.53,20.9,47.0,9.3,0.0,995.1,6.9,279.0,676,Lahore
2024-04-05 05:00:00,4,453.95,1.37,11.65,147.34,3.52,37.06,70.43,0.69,25.1,74.0,20.2,0.0,1008.7,2.6,268.0,0,Karachi
2022-08-25 05:00:00,2,1108.17,5.53,37.01,55.79,29.8,17.08,18.92,4.75,23.4,88.0,21.3,1.6,945.7,6.0,73.0,0,Islamabad
2022-10-19 03:00:00,5,2162.93,13.41,44.55,11.27,11.8,170.75,205.6,25.59,18.7,69.0,13.0,0.0,984.2,6.9,81.0,0,Lahore
2022-02-24 16:00:00,5,5981.45,100.14,50.04,0.0,21.46,407.17,494.0,50.16,19.1,63.0,11.9,0.3,989.8,7.0,325.0,327,Lahore
2023-01-28 06:00:00,5,4859.92,63.48,116.53,10.01,29.09,168.39,229.62,82.08,14.0,37.0,-0.5,0.0,978.0,4.5,104.0,369,Peshawar
2023-12-21 19:00:00,5,8651.73,16.32,224.83,0.06,35.29,655.28,777.0,95.25,7.8,56.0,-0.4,0.0,977.0,5.1,219.0,0,Peshawar
2024-06-09 21:00:00,3,1815.8,0.68,82.94,7.96,9.54,28.92,41.08,42.05,29.4,34.0,11.9,0.0,944.4,4.0,350.0,0,Islamabad
2023-11-25 19:00:00,5,10467.53,225.31,180.96,0.0,41.01,291.62,354.58,92.21,16.2,68.0,10.3,0.0,956.6,2.8,310.0,0,Islamabad
2022-02-13 08:00:00,5,1428.6,1.16,12.34,223.16,11.56,142.44,151.92,16.97,18.5,22.0,-3.6,0.0,973.3,6.1,135.0,704,Peshawar
2021-10-13 19:00:00,5,3044.13,17.66,90.48,0.13,25.03,186.32,357.32,27.61,30.8,29.0,10.7,0.0,1006.3,5.7,268.0,0,Karachi
2021-12-21 21:00:00,5,13458.25,211.0,132.98,0.0,25.75,1235.44,1428.81,52.69,10.6,81.0,7.5,0.0,990.8,4.0,80.0,0,Lahore
2024-05-07 19:00:00,3,400.54,0.01,10.11,32.54,3.01,14.61,56.08,1.96,29.6,76.0,24.9,0.0,1005.7,4.39,246.0,62,Karachi
2023-01-02 07:00:00,5,4753.11,12.29,80.88,98.71,29.09,564.53,605.04,13.3,4.0,98.0,3.6,0.0,994.3,1.9,22.0,0,Lahore
2022-08-21 08:00:00,3,487.33,0.58,4.46,145.91,8.82,20.37,21.32,3.64,28.5,66.0,21.5,0.0,944.8,5.1,4.0,317,Islamabad
2024-04-16 03:00:00,3,1655.58,25.7,33.93,5.41,12.99,47.01,60.08,17.99,25.1,91.0,23.5,0.0,1010.6,1.7,315.0,0,Karachi
2022-12-22 05:00:00,5,12710.57,343.32,126.12,4.78,29.33,505.33,592.98,83.09,5.9,79.0,2.5,0.0,954.6,3.3,13.0,0,Islamabad
2021-11-20 14:00:00,5,1054.76,0.07,45.24,32.9,5.19,50.6,83.21,9.88,10.9145,28.69737,-6.5855,0.0,837.1625,2.9024127,299.74478,0,Quetta
2023-10-28 05:00:00,5,894.55,6.71,32.9,37.19,5.19,72.65,269.0,10.51,17.2645,43.75324,4.8145,0.0,843.6378,1.5273507,315.0001,185,Quetta
2024-01-29 18:00:00,5,4112.24,59.9,87.05,0.0,10.97,173.27,222.74,22.55,15.3,64.0,8.5,0.0,957.0,7.9,300.0,12,Islamabad
2022-02-09 12:00:00,5,2002.72,1.47,68.55,257.49,29.33,218.53,268.31,13.81,23.9,38.0,8.7,0.0,1015.3,1.71,97.0,715,Karachi
2023-06-27 05:00:00,4,687.6,0.73,7.71,164.51,4.41,19.63,21.7,3.61,31.9,57.0,22.4,0.0,963.4,3.7,349.0,710,Peshawar
2023-12-13 01:00:00,5,2670.29,3.02,41.47,3.89,10.25,409.85,465.96,34.96,8.5,95.0,7.8,0.0,988.6,8.7,66.0,0,Lahore
2024-05-03 07:00:00,5,1108.17,1.34,18.51,288.96,31.47,72.45,91.66,9.25,22.5,54.0,12.7,0.0,980.3,5.9,14.0,143,Lahore
2023-09-16 00:00:00,5,1535.42,0.0,15.59,27.54,5.13,131.19,140.59,6.9,26.2,91.0,24.7,0.0,980.1,8.5,102.0,0,Lahore
2022-08-31 20:00:00,5,3311.16,36.21,72.66,0.0,9.54,177.45,202.68,20.52,32.1,53.0,21.3,0.0,978.4,2.3,231.0,0,Lahore
2023-08-07 02:00:00,3,580.79,0.0,10.88,98.71,6.02,35.19,41.5,5.32,25.3,78.0,21.2,0.0,959.4,4.9,54.0,41,Peshawar
2023-05-25 09:00:00,2,180.24,0.12,0.47,94.41,0.32,10.53,36.1,0.16,30.6645,10.661534,-3.5854998,0.0,838.9439,18.847641,298.523,929,Quetta
2022-04-10 17:00:00,5,3284.45,22.8,105.56,0.01,16.69,129.41,201.47,98.29,31.4,16.0,2.6,0.0,965.4,4.4,261.0,0,Peshawar
2022-02-11 13:00:00,5,6675.72,38.89,290.63,14.31,37.19,268.6,322.44,126.66,15.8,20.0,-7.2,0.0,974.6,1.3,146.0,40,Peshawar
2024-01-13 13:00:00,5,5500.79,0.02,123.38,50.07,15.14,636.1,707.88,30.15,14.8,64.0,8.0,0.0,975.7,4.0,360.0,5,Peshawar
2022-10-24 12:00:00,5,5073.55,74.21,165.88,7.15,16.21,131.32,152.98,31.16,27.0,22.0,3.5,0.0,952.7,8.6,255.0,727,Islamabad
2021-10-19 10:00:00,5,1508.71,6.15,49.35,133.04,16.21,61.8,76.93,13.81,27.2,61.0,19.0,0.0,984.1,7.4,284.0,495,Lahore
2022-05-23 15:00:00,5,198.6,0.0,2.48,92.98,0.57,29.71,136.41,0.81,24.8145,6.6335344,-14.0355,0.0,832.6005,10.587918,305.31128,5,Quetta
2023-01-07 00:00:00,5,5073.55,70.63,95.96,0.0,7.87,342.01,391.31,30.15,8.3,67.0,2.5,0.0,962.1,2.5,8.0,0,Islamabad
2023-01-05 10:00:00,2,267.03,1.36,3.98,84.4,1.49,5.67,10.3,2.34,13.6145,20.113983,-8.8855,0.0,842.3792,9.83268,156.2505,550,Quetta
2024-06-03 11:00:00,5,340.46,0.32,4.33,183.11,2.89,19.11,37.01,4.24,42.5,15.0,10.5,0.0,960.2,12.6,233.0,567,Peshawar
2021-11-08 04:00:00,5,5767.82,119.81,84.31,5.23,20.74,197.74,263.88,63.33,20.6,23.0,-1.2,0.0,977.4,3.6,53.0,279,Peshawar
2021-08-24 14:00:00,5,273.71,0.06,3.98,117.3,0.97,29.48,108.08,0.85,28.9645,10.345436,-5.2855,0.0,836.9347,9.504273,294.62354,63,Quetta
2022-07-27 16:00:00,4,1361.85,0.67,45.24,10.82,5.84,26.58,28.77,5.13,30.6,65.0,23.2,2.2,945.3,18.2,142.0,342,Islamabad
2022-12-15 11:00:00,5,5500.79,4.97,163.14,161.65,30.28,260.12,311.81,43.57,22.0,27.0,2.1,0.0,972.5,4.0,90.0,169,Peshawar
2023-09-22 04:00:00,5,2429.96,57.22,59.63,9.48,73.43,94.77,128.41,15.96,28.6,89.0,26.6,0.0,1003.4,0.54,292.0,0,Karachi
2023-06-24 09:00:00,4,453.95,0.36,3.21,155.93,8.34,52.12,92.85,6.65,34.0,56.0,24.0,0.0,942.0,13.0,124.0,531,Islamabad
2023-07-12 20:00:00,3,473.98,0.0,24.33,57.22,1.7,20.97,63.4,7.35,24.2645,69.214226,18.2645,0.0,834.8949,10.365251,159.67677,0,Quetta
2022-08-01 22:00:00,4,300.41,0.0,5.91,52.21,0.7,16.44,54.78,3.86,19.0645,99.06851,18.9145,0.0,831.77637,9.449572,162.25523,0,Quetta
2022-03-13 21:00:00,4,554.08,0.0,14.91,55.07,2.68,45.95,90.7,32.42,14.2645,66.97387,8.2145,0.0,838.365,7.5170207,163.30067,0,Quetta
2024-04-19 06:00:00,4,353.81,0.45,4.24,164.51,2.98,23.58,46.26,0.01,24.7,80.0,21.0,0.0,1005.6,3.81,265.0,0,Karachi
2022-04-18 15:00:00,3,620.84,0.0,12.85,135.9,4.23,18.71,27.42,11.78,33.4,15.0,3.3,0.0,966.2,5.2,326.0,0,Peshawar
2022-02-12 14:00:00,5,10040.28,232.46,189.19,0.0,33.38,367.42,412.53,120.58,19.6,21.0,-3.3,0.0,952.9,6.6,261.0,686,Islamabad
2024-05-01 07:00:00,4,433.92,0.61,4.28,164.51,8.34,23.66,30.62,6.33,17.9,67.0,11.7,0.0,979.2,8.2,255.0,135,Lahore
2023-05-19 09:00:00,3,175.24,0.15,0.63,128.75,0.64,10.88,51.27,0.31,30.0145,7.8560023,-8.0855,0.0,843.54,14.021525,318.12222,996,Quetta
2023-05-23 22:00:00,3,226.97,0.0,1.59,36.84,1.39,12.36,64.28,0.3,29.3,83.0,26.1,0.0,1006.8,3.86,249.0,0,Karachi
2024-02-24 07:00:00,3,921.25,4.3,25.36,128.75,22.89,44.03,88.1,12.03,18.2,79.0,14.5,0.0,1014.1,0.8,360.0,0,Karachi
2024-03-21 11:00:00,3,460.62,0.38,7.03,130.18,2.65,23.24,31.02,12.16,22.3,49.0,11.1,0.0,971.7,12.9,72.0,272,Peshawar
2022-05-04 23:00:00,5,263.69,0.0,3.38,91.55,3.78,41.32,144.01,0.69,28.3,67.0,21.6,0.0,1006.4,3.95,261.0,0,Karachi
2023-02-01 09:00:00,4,794.41,1.3,8.48,141.62,3.87,13.11,24.03,4.94,20.4,25.0,-0.3,0.0,979.3,7.9,16.0,572,Peshawar
2023-04-12 00:00:00,3,377.18,0.0,8.48,64.37,4.65,33.66,73.49,3.29,25.6,88.0,23.5,0.0,1011.7,1.2,265.0,0,Karachi
2022-08-17 19:00:00,1,487.33,0.0,15.59,45.06,2.56,7.16,8.19,3.86,20.6645,87.77481,18.5645,0.0,831.3742,2.4149535,116.56499,0,Quetta
2023-01-30 16:00:00,5,2136.23,15.65,37.7,0.17,11.21,142.45,187.16,15.2,17.9,66.0,11.5,0.0,991.4,8.9,130.0,271,Lahore
2023-04-22 02:00:00,3,720.98,0.99,26.73,50.78,6.02,29.07,66.54,27.87,14.0145,16.542189,-11.0355,0.0,834.5967,3.8268526,138.81418,61,Quetta
2022-07-16 14:00:00,2,357.15,0.1,1.95,81.54,0.48,4.49,6.9,1.76,27.7645,48.799015,16.0145,0.0,833.83844,16.485485,148.39255,98,Quetta
2024-04-11 00:00:00,3,961.3,0.0,30.5,50.07,7.57,26.16,36.48,61.3,20.0,64.0,12.9,0.9,953.4,15.7,344.0,0,Islamabad
